"MaximumInscribedSphereRadius","EdgeArray:0","EdgeArray:1","EdgePCoordArray","Points:0","Points:1","Points:2"
8.5305,63138,63139,0.6,82.71,25.81,29.125
8.5356,23320,63138,0.372,82.771,25.769,28.795
8.5374,23320,23320,0,82.781,25.764,28.737
8.5584,23270,23270,0,82.841,25.736,28.367
8.5672,14311,14311,0,82.879,25.725,28.187
8.5699,63193,63193,0,82.957,25.686,27.838
8.5721,14809,5055,0.916,82.991,25.671,27.669
8.589,61672,61672,0,83.121,25.619,27.097
8.5966,63154,23459,0.476,83.209,25.586,26.689
8.6046,23260,23260,0,83.295,25.557,26.327
8.6053,61795,61795,0,83.358,25.539,26.094
8.604,62839,62839,0,83.546,25.455,25.234
8.6181,62841,62841,0,83.629,25.437,24.85
8.6186,62842,61799,0.172,83.633,25.437,24.834
8.6198,43544,61799,0.88,83.661,25.429,24.717
8.6138,62294,62294,0,83.764,25.378,24.142
8.6145,63087,63087,0,83.918,25.342,23.501
8.6097,42659,63088,0.348,83.966,25.32,23.259
8.6013,42926,42926,0,84.058,25.26,22.783
8.5958,63090,63090,0,84.167,25.225,22.287
8.5967,63377,63377,0,84.214,25.202,22.061
8.5944,42718,63379,0.088,84.261,25.185,21.837
8.593,42718,45782,0.32,84.278,25.177,21.761
8.5831,44711,44711,0,84.345,25.14,21.421
8.5885,44715,44715,0,84.474,25.068,20.733
