x,y,z
7.616710662841796875e+01,5.466345977783203125e+01,1.058631134033203125e+02
7.606938934326171875e+01,5.457942962646484375e+01,1.055155792236328125e+02
7.589990997314453125e+01,5.444552612304687500e+01,1.049686889648437500e+02
7.584532928466796875e+01,5.438599395751953125e+01,1.047643661499023438e+02
7.569804382324218750e+01,5.421007537841796875e+01,1.044279251098632812e+02
7.566913604736328125e+01,5.417307281494140625e+01,1.043087768554687500e+02
7.532170867919921875e+01,5.391721725463867188e+01,1.033141937255859375e+02
7.528958129882812500e+01,5.389792633056640625e+01,1.032331237792968750e+02
7.507378387451171875e+01,5.371884536743164062e+01,1.026024398803710938e+02
7.503255462646484375e+01,5.368003082275390625e+01,1.024970855712890625e+02
7.486495208740234375e+01,5.356143951416015625e+01,1.020009918212890625e+02
7.481871032714843750e+01,5.353207397460937500e+01,1.018635635375976562e+02
7.476233673095703125e+01,5.349125289916992188e+01,1.016889953613281250e+02
7.468218231201171875e+01,5.340913391113281250e+01,1.013914413452148438e+02
7.465946960449218750e+01,5.338280868530273438e+01,1.013032302856445312e+02
7.431085968017578125e+01,5.311271286010742188e+01,1.001065216064453125e+02
7.429718017578125000e+01,5.309830093383789062e+01,1.000555267333984375e+02
7.408789062500000000e+01,5.295277786254882812e+01,9.925958251953125000e+01
7.403366088867187500e+01,5.289100646972656250e+01,9.901184844970703125e+01
7.393987274169921875e+01,5.280458831787109375e+01,9.863832092285156250e+01
7.389134216308593750e+01,5.275048828125000000e+01,9.840755462646484375e+01
7.378039550781250000e+01,5.264352035522460938e+01,9.803072357177734375e+01
7.368239593505859375e+01,5.253348922729492188e+01,9.766781616210937500e+01
7.355012512207031250e+01,5.241495513916015625e+01,9.726772308349609375e+01
7.351890563964843750e+01,5.238383483886718750e+01,9.717734527587890625e+01
7.349111938476562500e+01,5.235794448852539062e+01,9.709613037109375000e+01
7.330518341064453125e+01,5.219205093383789062e+01,9.661588287353515625e+01
7.329075622558593750e+01,5.217426681518554688e+01,9.656560516357421875e+01
7.319889831542968750e+01,5.206480026245117188e+01,9.628761291503906250e+01
7.319794464111328125e+01,5.206384658813476562e+01,9.628475189208984375e+01
7.316725921630859375e+01,5.203527069091796875e+01,9.619386291503906250e+01
7.290247344970703125e+01,5.179260253906250000e+01,9.552106475830078125e+01
7.286104583740234375e+01,5.174385452270507812e+01,9.538055419921875000e+01
7.279157257080078125e+01,5.166631317138671875e+01,9.517429351806640625e+01
7.268099212646484375e+01,5.150097274780273438e+01,9.470546722412109375e+01
7.261217498779296875e+01,5.142256164550781250e+01,9.443801879882812500e+01
7.239949035644531250e+01,5.119625854492187500e+01,9.382223510742187500e+01
7.239918518066406250e+01,5.119586181640625000e+01,9.382115936279296875e+01
7.236174011230468750e+01,5.114667129516601562e+01,9.368759155273437500e+01
7.236158752441406250e+01,5.114650344848632812e+01,9.368705749511718750e+01
7.232265472412109375e+01,5.110443115234375000e+01,9.355452728271484375e+01
7.231464385986328125e+01,5.109346008300781250e+01,9.351928710937500000e+01
7.225575256347656250e+01,5.101292419433593750e+01,9.328317260742187500e+01
7.216149902343750000e+01,5.085107803344726562e+01,9.279227447509765625e+01
7.210186767578125000e+01,5.077629089355468750e+01,9.251234436035156250e+01
7.196643829345703125e+01,5.062086868286132812e+01,9.205607604980468750e+01
7.174678039550781250e+01,5.023855972290039062e+01,9.093447113037109375e+01
7.173038482666015625e+01,5.019499969482421875e+01,9.080673217773437500e+01
7.170523834228515625e+01,5.013682556152343750e+01,9.065045928955078125e+01
7.165873718261718750e+01,5.006114578247070312e+01,9.038582611083984375e+01
7.165856170654296875e+01,5.006089782714843750e+01,9.038486480712890625e+01
7.163710784912109375e+01,5.003017425537109375e+01,9.026600646972656250e+01
7.159982299804687500e+01,4.998318481445312500e+01,9.011727905273437500e+01
7.157567596435546875e+01,4.993740081787109375e+01,8.997209930419921875e+01
7.142294311523437500e+01,4.967707061767578125e+01,8.925338745117187500e+01
7.133859252929687500e+01,4.947279357910156250e+01,8.869734954833984375e+01
7.123675537109375000e+01,4.927568817138671875e+01,8.809351348876953125e+01
7.123667907714843750e+01,4.927551651000976562e+01,8.809286499023437500e+01
7.123167419433593750e+01,4.926381301879882812e+01,8.805294036865234375e+01
7.112002563476562500e+01,4.902429962158203125e+01,8.734095764160156250e+01
7.109629058837890625e+01,4.892800903320312500e+01,8.706208801269531250e+01
7.108552551269531250e+01,4.889233398437500000e+01,8.697369384765625000e+01
7.099197387695312500e+01,4.867236328125000000e+01,8.633984375000000000e+01
7.097954559326171875e+01,4.858800506591796875e+01,8.610505676269531250e+01
7.095634460449218750e+01,4.845324707031250000e+01,8.574865722656250000e+01
7.094951629638671875e+01,4.835167312622070312e+01,8.548551177978515625e+01
7.094821166992187500e+01,4.834648513793945312e+01,8.546985626220703125e+01
7.088642120361328125e+01,4.812733840942382812e+01,8.486569976806640625e+01
7.087503814697265625e+01,4.805801773071289062e+01,8.467919921875000000e+01
7.087252807617187500e+01,4.797761917114257812e+01,8.446891021728515625e+01
7.086123657226562500e+01,4.784925079345703125e+01,8.416942596435546875e+01
7.085578918457031250e+01,4.781669998168945312e+01,8.408219909667968750e+01
7.086041259765625000e+01,4.759595870971679688e+01,8.352056121826171875e+01
7.086037445068359375e+01,4.759064483642578125e+01,8.350520324707031250e+01
7.086420440673828125e+01,4.755479049682617188e+01,8.340376281738281250e+01
7.086353302001953125e+01,4.751033401489257812e+01,8.329108428955078125e+01
